Código 2,Producto,PUBLICO TIENDA
FCF-IPH13PM,FLEX CAMARA FRONTAL SELFIE IPHONE 13 PRO MAX,3990
FCF-IPH14,FLEX CAMARA FRONTAL SELFIE IPHONE 14,3500
FCF-IPH14PLUS,FLEX CAMARA FRONTAL SELFIE IPHONE 14 PLUS,3500
FCF-IPH14P,FLEX CAMARA FRONTAL SELFIE IPHONE 14 PRO,4000
FCF-IPH14PM,FLEX CAMARA FRONTAL SELFIE IPHONE 14 PRO MAX,4500
FCF-IPH15,FLEX CAMARA FRONTAL SELFIE IPHONE 15,4500
FCF-IPH15PLUS,FLEX CAMARA FRONTAL SELFIE IPHONE 15 PLUS,4500
FCF-IPH15P,FLEX CAMARA FRONTAL SELFIE IPHONE 15 PRO,4500
FCF-IPH15PM,FLEX CAMARA FRONTAL SELFIE IPHONE 15 PRO MAX,4500
FCF-IPH16,FLEX CAMARA FRONTAL SELFIE IPHONE 16,4500
FCF-IPH16P,FLEX CAMARA FRONTAL SELFIE IPHONE 16 PRO,4500
FCF-IPH16PM,FLEX CAMARA FRONTAL SELFIE IPHONE 16 PRO MAX,4500
F-IPH5,FLEX CAMARA FRONTAL SELFIE IPHONE 5,1600
F-IPH5C,FLEX CAMARA FRONTAL SELFIE IPHONE 5C,1600
F-IPH5S,FLEX CAMARA FRONTAL SELFIE IPHONE 5S,1500
F-IPH6,FLEX CAMARA FRONTAL SELFIE IPHONE 6,1600
F-IPH6P,FLEX CAMARA FRONTAL SELFIE IPHONE 6 PLUS,1990
F-IPH6S,FLEX CAMARA FRONTAL SELFIE IPHONE 6S,1590
F-IPH6SP,FLEX CAMARA FRONTAL SELFIE IPHONE 6S PLUS,1900
F-IPH7,FLEX CAMARA FRONTAL SELFIE IPHONE 7,1700
F-IPH7P,FLEX CAMARA FRONTAL SELFIE IPHONE 7 PLUS,1790
F-IPH8,FLEX CAMARA FRONTAL SELFIE IPHONE 8 / SE 2020,1490
F-IPH8P,FLEX CAMARA FRONTAL SELFIE IPHONE 8 PLUS,1500
F-CAIPHX,FLEX CAMARA FRONTAL SELFIE IPHONE X,1900
F-CFIPHXR,FLEX CAMARA FRONTAL SELFIE IPHONE XR,2000
F-CAFIPXSF,FLEX CAMARA FRONTAL SELFIE IPHONE XS,2000
F-CAIPHXSM,FLEX CAMARA FRONTAL SELFIE IPHONE XS MAX,2000
FF-SAMA21S,FLEX CAMARA FRONTAL SELFIE SAMSUNG A217 / A21S,1990
FF-SAMJ7,FLEX CAMARA FRONTAL SELFIE SAMSUNG J7,1200
FF-SAMJ7P,FLEX CAMARA FRONTAL SELFIE SAMSUNG J7 PRIME,1350
FF-SAMS20FE4,FLEX CAMARA FRONTAL SELFIE SAMSUNG S20 FE 4G,1990
FF-SAMS20FE5,FLEX CAMARA FRONTAL SELFIE SAMSUNG S20 FE 5G,1990
FF-SAMS20P,FLEX CAMARA FRONTAL SELFIE SAMSUNG S20 PLUS,1500
FCF-S22P,FLEX CAMARA FRONTAL SELFIE SAMSUNG S22 PLUS,1990
FCF-S22U,FLEX CAMARA FRONTAL SELFIE SAMSUNG S22 ULTRA,4000
FF-SAMS7,FLEX CAMARA FRONTAL SELFIE SAMSUNG S7,1450
FCF-XIAR13C,FLEX CAMARA FRONTAL SELFIE XIAOMI REDMI 13C,1590
FC-HON200L,FLEX CAMARA PRINCIPAL HONOR 200 LITE,2590
FC-HUAM10L,FLEX CAMARA PRINCIPAL HUAWEI MATE 10 LITE,1690
FC-HUAM20L,FLEX CAMARA PRINCIPAL HUAWEI MATE 20 LITE,2190
F-HUANO5T,FLEX CAMARA PRINCIPAL HUAWEI NOVA 5T,1690
F-HUAP10,FLEX CAMARA PRINCIPAL HUAWEI P10,1890
F-HUACP30L,FLEX CAMARA PRINCIPAL HUAWEI P30 LITE,2440
FC-HUAP30P,FLEX CAMARA PRINCIPAL HUAWEI P30 PRO,2990
FC-HUAP9LS,FLEX CAMARA PRINCIPAL HUAWEI P9 LITE SMART,1500
FC-HUAY3II,FLEX CAMARA PRINCIPAL HUAWEI Y3 II,1400
FC-HUAY92019,FLEX CAMARA PRINCIPAL HUAWEI Y9 2019,1890
FC-IPH11,FLEX CAMARA PRINCIPAL IPHONE 11,4300
FC-IPH11P,FLEX CAMARA PRINCIPAL IPHONE 11 PRO,6290
FC-IPH11PM,FLEX CAMARA PRINCIPAL IPHONE 11 PRO MAX,6290
FC-IPH12,FLEX CAMARA PRINCIPAL IPHONE 12,5990
FC-IPH12M,FLEX CAMARA PRINCIPAL IPHONE 12 MINI,5990
FC-IPH12P,FLEX CAMARA PRINCIPAL IPHONE 12 PRO,7890
FC-IPH12PM,FLEX CAMARA PRINCIPAL IPHONE 12 PRO MAX,7890
FC-IPH13,FLEX CAMARA PRINCIPAL IPHONE 13,5500
FC-IPH13M,FLEX CAMARA PRINCIPAL IPHONE 13 MINI,4500
FC-IPH13P,FLEX CAMARA PRINCIPAL IPHONE 13 PRO / 13 PRO MAX,6500
FC-IPH14,FLEX CAMARA PRINCIPAL IPHONE 14,6500
FC-IPH14PLUS,FLEX CAMARA PRINCIPAL IPHONE 14 PLUS,6990
FC-IPH14PRO,FLEX CAMARA PRINCIPAL IPHONE 14 PRO,6990
FC-IPH14PM,FLEX CAMARA PRINCIPAL IPHONE 14 PRO MAX,6990
FC-IPH15,FLEX CAMARA PRINCIPAL IPHONE 15,6990
FC-IPH15PLUS,FLEX CAMARA PRINCIPAL IPHONE 15 PLUS,6990
FC-IPH15PRO,FLEX CAMARA PRINCIPAL IPHONE 15 PRO,6990
FC-IPH15PM,FLEX CAMARA PRINCIPAL IPHONE 15 PRO MAX,6990
FC-IPH16,FLEX CAMARA PRINCIPAL IPHONE 16,6990
FC-IPH16PRO,FLEX CAMARA PRINCIPAL IPHONE 16 PRO,6990
FC-IPH16PM,FLEX CAMARA PRINCIPAL IPHONE 16 PRO MAX,6990
FC-IPH6,FLEX CAMARA PRINCIPAL IPHONE 6,1700
FC-IPH6P,FLEX CAMARA PRINCIPAL IPHONE 6 PLUS,1800
FC-IPH6S,FLEX CAMARA PRINCIPAL IPHONE 6S,1700
FC-IPH6SP,FLEX CAMARA PRINCIPAL IPHONE 6S PLUS,2600
FC-IPH7,FLEX CAMARA PRINCIPAL IPHONE 7,1800
FC-IPH7P,FLEX CAMARA PRINCIPAL IPHONE 7 PLUS,3500
FC-IPH8,FLEX CAMARA PRINCIPAL IPHONE 8,4890
FC-IPH8P,FLEX CAMARA PRINCIPAL IPHONE 8 PLUS,5500
FC-IPHSE2020,FLEX CAMARA PRINCIPAL IPHONE SE 2020,4890
FC-IPHX,FLEX CAMARA PRINCIPAL IPHONE X,4590
FC-IPHXR,FLEX CAMARA PRINCIPAL IPHONE XR,4990
FC-IPHXSM,FLEX CAMARA PRINCIPAL IPHONE XS / XS MAX,5590
FC-SAMA10S,FLEX CAMARA PRINCIPAL SAMSUNG A10S,1820
FC-SAMA127,FLEX CAMARA PRINCIPAL SAMSUNG A127,1290
FC-SAMA15,FLEX CAMARA PRINCIPAL SAMSUNG A15,2500
FC-SAMA226,FLEX CAMARA PRINCIPAL SAMSUNG A226,1990
FC-SAMA30,FLEX CAMARA PRINCIPAL SAMSUNG A30,2719.99
FC-SAMA32,FLEX CAMARA PRINCIPAL SAMSUNG A32 / A325,1690
FC-SAMA34,FLEX CAMARA PRINCIPAL SAMSUNG A34,1990
FC-SAMA75,FLEX CAMARA PRINCIPAL SAMSUNG A7 2018 / A750,1990
FC-SAMA71,FLEX CAMARA PRINCIPAL SAMSUNG A71,3290
FC-SAMJ6,FLEX CAMARA PRINCIPAL SAMSUNG J6,1800
FC-SAMJ7,FLEX CAMARA PRINCIPAL SAMSUNG J7,1450
FC-SAMJ72016,FLEX CAMARA PRINCIPAL SAMSUNG J7 2016,1990
FC-SAMJ7P,FLEX CAMARA PRINCIPAL SAMSUNG J7 PRIME,1450
FC-SAMS10,FLEX CAMARA PRINCIPAL SAMSUNG S10,2000
FC-SAMS10P,FLEX CAMARA PRINCIPAL SAMSUNG S10 PLUS,2590
FC-SAMS10E,FLEX CAMARA PRINCIPAL SAMSUNG S10E,3500
FC-SAMS20,FLEX CAMARA PRINCIPAL SAMSUNG S20,2500
FC-SAMS20FE4,FLEX CAMARA PRINCIPAL SAMSUNG S20 FE 4G,2490
FC-SAMS20FE5,FLEX CAMARA PRINCIPAL SAMSUNG S20 FE 5G,2490
FC-SAMS20P,FLEX CAMARA PRINCIPAL SAMSUNG S20 PLUS,2500
FC-SAMS21FE,FLEX CAMARA PRINCIPAL SAMSUNG S21 FE,2490
FC-SAMS22U,FLEX CAMARA PRINCIPAL SAMSUNG S22 ULTRA,6700
FC-SAMS23FE,FLEX CAMARA PRINCIPAL SAMSUNG S23 FE /S711,2190
FC-SAMS5,FLEX CAMARA PRINCIPAL SAMSUNG S5,1200
FC-SAMS8,FLEX CAMARA PRINCIPAL SAMSUNG S8,2250
FC-XIAPX3,FLEX CAMARA PRINCIPAL XIAOMI POCO X3,1800
FC-XIAR13C,FLEX CAMARA PRINCIPAL XIAOMI REDMI 13C,1800
F-XIAR9C,FLEX CAMARA PRINCIPAL XIAOMI REDMI 9C,1800
FC-XIARN10S,FLEX CAMARA PRINCIPAL XIAOMI REDMI NOTE 10S,1800
F-XIARN12S,FLEX CAMARA PRINCIPAL XIAOMI REDMI NOTE 12S,2100
F-XIARN9,FLEX CAMARA PRINCIPAL XIAOMI REDMI NOTE 9,1800
CI-WIIPH11P,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 11 PRO,1990
CI-WIIPH11PM,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 11 PRO MAX,3500
CI-WIIPH12,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 12 / 12 PRO,2500
CI-WIIPH12M,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 12 MINI,2500
CI-WIIPH12PM,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 12 PRO MAX,2500
CI-WIIPH13,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 13,2500
CI-WIIPH13M,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 13 MINI,2500
CI-WIIPH13P,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 13 PRO,2500
CI-WIIPH13PM,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 13 PRO MAX,2500
CI-WIIPH14,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE 14,2000
CI-WIIPHX,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE X,2500
CI-WIIPHXS,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE XS,2500
CI-WIIPHXSMAX,FLEX CARGA INALAMBRICA C/ VOLUMEN IPHONE XS MAX,3000
CI-WIIPH11,FLEX CARGA INALAMBRICA PARA IPHONE 11,1690
CI-WIIPH8,FLEX CARGA INALAMBRICA PARA IPHONE 8,2500
CI-WIIPH8P,FLEX CARGA INALAMBRICA PARA IPHONE 8 PLUS,2500
CI-WIIPHXR,FLEX CARGA INALAMBRICA PARA IPHONE XR,2500
F-CIPH11,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 11,2600
F-CIPH11P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 11 PRO,2600
F-CIPH11PM,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 11 PRO MAX,2600
F-CIPH12P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 12 / 12 PRO,2600
F-CIPH12M,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 12 MINI,2600
F-CIPH12PM,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 12 PRO MAX,2600
F-CIPH13,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 13,2600
F-CIPH13M,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 13 MINI,2600
F-CIPH13P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 13 PRO,2600
F-CIPH13PMX,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 13 PRO MAX,2600
F-CIPH14,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 14,3990
F-CIPH14-P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 14 PLUS,3990
F-CIPH14P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 14 PRO,4990
F-CIPH14PMX,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 14 PRO MAX,4990
F-CIPH15,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 15,3990
F-CIPH15P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 15 PRO,4990
F-CIPH16,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 16,4990
F-CIPH16-P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 16 PLUS,4990
F-CIPH16P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 16 PRO,4990
F-CIPH16PMX,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 16 PRO MAX,4990
F-CIPH5,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 5,1400
F-CIPH5S,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 5S,1400
C-IPH6,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 6,1490
F-CIPH6P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 6 PLUS,1690
C-IPH6S,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 6S,1500
F-6SPLUS,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 6S PLUS,1500
F-CIPH7,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 7,1600
F-CIPH7P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 7 PLUS,1600
F-CIPH8,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 8,1600
F-CIPH8P,FLEX DE CARGA Y MICRÓFONO PARA IPHONE 8 PLUS,1990
F-CIPHSE20,FLEX DE CARGA Y MICRÓFONO PARA IPHONE SE 2020,1990
F-CIPHSE22,FLEX DE CARGA Y MICRÓFONO PARA IPHONE SE 2022,1990
F-CIPHX,FLEX DE CARGA Y MICRÓFONO PARA IPHONE X,1990
F-IPHXR,FLEX DE CARGA Y MICRÓFONO PARA IPHONE XR,1990
F-CIPHXS,FLEX DE CARGA Y MICRÓFONO PARA IPHONE XS,1990
F-CIPHXSM,FLEX DE CARGA Y MICRÓFONO PARA IPHONE XS MAX,2200
FH-HUAMA20,FLEX HUELLA HUAWEI MATE 20,1400
F-HUAY7AHUE,FLEX HUELLA HUAWEI Y7A / P SMART 2021,1500
F-HUAY92019,FLEX HUELLA HUAWEI Y9 2019,1400
F-HUAY9P,FLEX HUELLA HUAWEI Y9 PRIME 2019,1500
F-HUAY9AHUE,FLEX HUELLA HUAWEI Y9A,1500
F-HUEY9S,FLEX HUELLA HUAWEI Y9S,1690
F-HMOTOE7P,FLEX HUELLA MOTOROLA E7 PLUS NEGRO,327.87
F-HMOTE71P,FLEX HUELLA MOTOROLA E7I POWER,960
F-HMOTOF9P,FLEX HUELLA MOTOROLA E9 PLUS / G9 PLUS,690
FH-XIAR10,FLEX HUELLA XIAOMI REDMI 10,1500
FH-XIAR9A,FLEX HUELLA XIAOMI REDMI 9A,0
FH-XIAR9T,FLEX HUELLA XIAOMI REDMI 9T / POCO M3 2020,1390
FH-XIARN10P,FLEX HUELLA XIAOMI REDMI NOTE 10 PRO,0
F-HU-XIARN12S,FLEX HUELLA XIAOMI REDMI NOTE 12S,286.89
F-HU-XIARN9,FLEX HUELLA XIAOMI REDMI NOTE 9,1200
F-HU-XIARN9S,FLEX HUELLA XIAOMI REDMI NOTE 9S,1300
FLASH-IPH12PM,FLEX IPHONE 12 PRO FLASH LED,3000
FH-XIAPM3,FLEX LECTOR DE HUELLA XIAOMI POCOPHONE M3,1790
FH-SAMA32,FLEX LECTOR DE HUELLAS A32 A325 / A52 A525,1700
F-HUAP9LON,FLEX ON / OFF HUAWEI P9 LITE,1550
F-ONOFF-HUAN5T,FLEX ON OFF HUAWEI NOVA 5T,1200
F-ONOFF-SONXZ,FLEX ON OFF SONY XZ PREMIUM,1500
F-ONOFF-MIA1,FLEX ON OFF XIAOMI MI A1 POWER ON/OFF,1200
F-ONOFF-XIARN9S,FLEX ON OFF XIAOMI REDMI NOTE 9S,1290
FP-MBH20LIT,FLEX PLACA PRINCIPAL A CARGA HUAWEI MATE 20 LITE,1500
F-MBHY9PR,FLEX PLACA PRINCIPAL A CARGA HUAWEI Y9 PRIME  2019,1500
FP-SAMA02S,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A02S,1500
FP-SAMA10,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A10,750
FP-SAMA10S-M15,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A10S M15,1290
FP-SAMA10S-M16,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A10S M16,1290
FP-SAMA11,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A11,1200
FP-SAMA12,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A12,1500
FP-SAMA15,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A15,1500
FP-SAMA20,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A20,1490
FP-SAMA20S-M12,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A20S M12,1490
FP-SAMA20S-M14,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A20S M14,1490
FP-SAMA21,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A21,1790
FP-SAMA226,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A22 5G,1400
FSAMA24-P,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A24 / A245,1890
FP-SAMA25,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A25,1790
FP-SAMA30,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A30,990
FP-SAMA30S,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A30S,1490
FP-SAMA31,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A31,1490
FP-SAMA32,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A32 4G (A325 2021),1800
FP-SAMA325F,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A32 5G (A326 2021),1800
FP-SAMA33,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A33 / A336,1600
FP-SAMA34,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A34,1990
FP-SAMA40,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A40,1500
FP-SAMA50,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A50,1490
FP-SAMA51,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A51 4G / A515 2019,1790
FP-SAMA52,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A52 4G,1500
FP-SAMA525G,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A52 5G,1500
FP-SAMA53,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A53 / A536,1200
FP-SAMA54,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A54,1790
FP-SAMA70,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A70,1490
FP-SAMA71,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A71,990
FP-SAMA73,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A73,1890
F-SAMA80,FLEX PLACA PRINCIPAL A CARGA SAMSUNG A80,1500
F-SAMNOT20,FLEX PLACA PRINCIPAL A CARGA SAMSUNG NOTE 20,1500
F-SAMNO2OUL,FLEX PLACA PRINCIPAL A CARGA SAMSUNG NOTE 20 ULTRA,1500
FP-SAMS20FE,FLEX PLACA PRINCIPAL A CARGA SAMSUNG S20 FE / G781B,1400
FP-SAMS20U,FLEX PLACA PRINCIPAL A CARGA SAMSUNG S20 ULTRA,1400
FP-SAMS21,FLEX PLACA PRINCIPAL A CARGA SAMSUNG S21,1400
FP-SAMS21P,FLEX PLACA PRINCIPAL A CARGA SAMSUNG S21 PLUS,1280
F-PPSAMS21U,FLEX PLACA PRINCIPAL A CARGA SAMSUNG S21 ULTRA,1480
FP-SAMS22U,FLEX PLACA PRINCIPAL A CARGA SAMSUNG S22 ULTRA,1890
FP-SAZF4,FLEX PLACA PRINCIPAL A CARGA SAMSUNG Z FLIP 4,4990
FP-XIAM11T,FLEX PLACA PRINCIPAL A CARGA XIAOMI MI 11T / MI 11T PRO,1600
FP-XIAM12TP,FLEX PLACA PRINCIPAL A CARGA XIAOMI MI 12T/12T PRO,1800
FP-MI8LITE,FLEX PLACA PRINCIPAL A CARGA XIAOMI MI 8 LITE,1690
FP-XIAMA1,FLEX PLACA PRINCIPAL A CARGA XIAOMI MI A1,900
FP-XIAMN10L,FLEX PLACA PRINCIPAL A CARGA XIAOMI MI NOTE 10 LITE,1400
FP-POCOX3,FLEX PLACA PRINCIPAL A CARGA XIAOMI POCO X3,1200
FP-XIARN10P,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 10 PRO,1400
FP-XIARN10S,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 10S / REDMI NOTE 10 4G,1400
FP-XIARN11,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 11 / 11S,1200
FP-XIARN12P5G,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 12 PRO 5G,1890
FP-XIARN134G,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 13 4G,1790
FP-XIARN8P,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 8 PRO,1200
FP-XIARN9,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 9,1200
FP-XIARN9S,FLEX PLACA PRINCIPAL A CARGA XIAOMI REDMI NOTE 9S / 9 PRO,1200
FPP-SAMA50,FLEX PLACA PRINCIPAL A LCD SAMSUNG A50,1490
FPP-SAMS21,FLEX PLACA PRINCIPAL A LCD SAMSUNG S21,1500
FP-MOTOE20L,FLEX POWER MOTOROLA EDGE 20 LITE,1400
FP-MOTOC,FLEX POWER MOTOROLA XT1754 MOTO C,1690
FP-IPH11,FLEX POWER ON / OFF / FLASH IPHONE 11,1800
FP-MOTOED40,FLEX POWER ON / OFF + VOLUMEN MOTOROLA EDGE 40 5G,1590
FP-IPH14,FLEX POWER ON / OFF IPHONE 14,2700
FP-IPH15,FLEX POWER ON / OFF IPHONE 15,2900
FP-IPH6,FLEX POWER ON / OFF IPHONE 6,1300
FP-NOK6,FLEX POWER ON / OFF NOKIA 6,800
FP-SAMA035,FLEX POWER ON / OFF SAMSUNG A035,1100
F-SAMHUEA235,FLEX POWER ON / OFF SENSOR  HUELLA SAMSUNG A23 / A235 / M33 4G,1300
FP-IPHXR,FLEX POWER ON / OFF VOL + / -  IPHONE XR,1990
FP-SAMA045,FLEX POWER ON / OFF VOL + / -  SAMSUNG A045,1400
FP-XIAMIA3,FLEX POWER ON / OFF XIAOMI MI A3,1390
FP-XIAPX3,FLEX POWER ON / OFF XIAOMI POCO X3,1290
FP-XIAR9T,FLEX POWER ON / OFF XIAOMI REDMI 9T,1400
FP-SAMA21S,FLEX POWER ON / OFF Y VOLUMEN SAMSUNG A21S,1300
FP-MOTOG9P,FLEX POWER ON /OFF MOTOROLA G9 PLUS,800
F-SAMA12,FLEX POWER ON/OFF (HUELLA ) SAMSUNG A12 / A125,1590
FP-HX7,FLEX POWER ON/OFF HONOR X7,1400
FP-HUAPS19,FLEX POWER ON/OFF HUAWEI P SMART 2019,1495
FP-HUAP20,FLEX POWER ON/OFF HUAWEI P20,1500
F-HUAP30,FLEX POWER ON/OFF HUAWEI P30,1300
FP-HUAP9LS,FLEX POWER ON/OFF HUAWEI P9 LITE SMART,1250
FP-HUAY519,FLEX POWER ON/OFF HUAWEI Y5 2019,1350
FP-HUAY619,FLEX POWER ON/OFF HUAWEI Y6 2019,1250
FP-HUY919,FLEX POWER ON/OFF HUAWEI Y9 2019,1200
FP-HUAYY9P,FLEX POWER ON/OFF HUAWEI Y9 PRIME 2019,1390
FP-HUAY9A,FLEX POWER ON/OFF HUAWEI Y9A,1500
FP-IPH11P,FLEX POWER ON/OFF IPHONE 11 PRO,2300
FP-IPH11PMX,FLEX POWER ON/OFF IPHONE 11 PRO MAX,2500
FP-IPH7,FLEX POWER ON/OFF IPHONE 7,1400
FP-IPH7P,FLEX POWER ON/OFF IPHONE 7 PLUS,1400
FP-IPH8P,FLEX POWER ON/OFF IPHONE VOL + / - 8 PLUS,1500
FP-IPHX,FLEX POWER ON/OFF IPHONE X,1500
FP-IPHXSP,FLEX POWER ON/OFF IPHONE XS,1700
FP-FP-IPHMXP,FLEX POWER ON/OFF IPHONE XS MAX,1900
FP-SAMA05,FLEX POWER ON/OFF SAMSUNG A055/A05,1400
F-SAMA10,FLEX POWER ON/OFF SAMSUNG A10,1300
F-SAMA10S,FLEX POWER ON/OFF SAMSUNG A10S,1200
FP-SAMA20S,FLEX POWER ON/OFF SAMSUNG A20S / A207,1000
FP-SAMA315,FLEX POWER ON/OFF SAMSUNG A315 / A31,1290
F-SAMA718,FLEX POWER ON/OFF SAMSUNG A7 2018,2290
FP-SAMS10E,FLEX POWER ON/OFF SAMSUNG S10E,1400
FP-SAMS8P,FLEX POWER ON/OFF SAMSUNG S8 PLUS,1150
FP-SAMS9,FLEX POWER ON/OFF SAMSUNG S9,1300
FP-IPH12,FLEX POWER ON/OFF VOL + / -  IPHONE 12 / 12 PRO,2990
FP-IPH12M,FLEX POWER ON/OFF VOL + / -  IPHONE 12 MINI,2900
FP-IPH12PMX,FLEX POWER ON/OFF VOL + / -  IPHONE 12 PRO MAX,4300
FP-IPH13,FLEX POWER ON/OFF VOL + / -  IPHONE 13,2990
FP-IPH13M,FLEX POWER ON/OFF VOL + / -  IPHONE 13 MINI,3000
FP-IPH13P,FLEX POWER ON/OFF VOL + / -  IPHONE 13 PRO,4000
FP-IPH13PMX,FLEX POWER ON/OFF VOL + / -  IPHONE 13 PRO MAX,2000
FP-IPH8,FLEX POWER ON/OFF VOL + / -  IPHONE 8,1600
F-SONPOWX3,FLEX POWER ON/OFF VOL +/- SONY X3,1200
FP-XIAM9,FLEX POWER ON/OFF XIAOMI MI 9,1600
FP-XIAN4,FLEX POWER ON/OFF XIAOMI NOTE 4,1690
FP-XIAR10,FLEX POWER ON/OFF XIAOMI REDMI 10,1250
FP-XIAR8AOFF,FLEX POWER ON/OFF XIAOMI REDMI 8A,1690
F-HU-XIM11TP,FLEX POWER SENSOR DE HUELLA XIAOMI MI 11T PRO,1500
F-PSONZ5,FLEX POWER SONY Z5,1000
F-XIARN10S,FLEX POWER VOLUME +/- XIAOMI REDMI NOTE 10S,1400
F-XIARN11,FLEX POWER VOLUME +/- XIAOMI REDMI NOTE 11,1690
F-XIARN11PRO,FLEX POWER VOLUME +/- XIAOMI REDMI NOTE 11 PRO,1590
F-GOOPIX6,FLEX SENSOR DE HUELLA GOOGLE PIXEL 6,1500
F-SAMHUEA13,FLEX SENSOR DE HUELLA SAMSUNG A13 AZUL,1500
F-SAMHUEA225,FLEX SENSOR DE HUELLA SAMSUNG A225,1500
F-SAMHUEA31,FLEX SENSOR DE HUELLA SAMSUNG A31,1320
F-SAMHUN8,FLEX SENSOR DE HUELLA SAMSUNG NOTE 8,1500
F-SAMHUS20FE,FLEX SENSOR DE HUELLA SAMSUNG S20 FE,1500
F-HUAHU8X,FLEX SENSOR DE HUELLAS HUAWEI HONOR 8X,1500
F-IPH13,FLEX SENSOR DE PROXIMIDAD IPHONE 13,2500
F-IPH13M,FLEX SENSOR DE PROXIMIDAD IPHONE 13 MINI,2500
F-IPH13P,FLEX SENSOR DE PROXIMIDAD IPHONE 13 PRO,2500
